ARIAL SDF	Fonts & Materials/ARIAL SDF		
Research/LightHeadedMachineLevel1_Name	Upgrade: De-Lux Clinic		
Research/LightHeadedMachineLevel2_CompleteMessage	Great news, we've been getting great results in our simulations, so we can roll out an updated and much improved head formulation process.\n\nYou've unlocked a new upgrade that can now be applied, to each machine, by a janitor qualified in mechanics.		
Research/LightHeadedMachineLevel2_Description	We believe improvements could be made to significantly increase the success rate of the body and replacement-head intermingling step.		
Research/LightHeadedMachineLevel2_Name	Advanced Upgrade: De-Lux Clinic		
Research/LightHeadedRoom_CompleteMessage	Our researchers have designed a new machine to cure patients suffering from Lightheadedness.		
Research/LightHeadedRoom_Description	Design a machine to cure patients suffering from Lightheadedness.		
Research/LightHeadedRoom_Name	De-Lux Clinic		
Research/MRIMachineLevel1_CompleteMessage	Ok, so - weird one - turns out we had the machines running on 60%. Better call this model something new, and it's actually a little complicated to turn back to 100%, so no one should find out… Won't happen again!\n\nYou've unlocked a new upgrade that can now be applied, to each machine, by a janitor qualified in mechanics.		
Research/MRIMachineLevel1_Description	We believe there's an inefficiency holding back the effectiveness of our M.E.G.A Scanners, if we conduct some analysis we should be able to find what's wrong.		
Research/MRIMachineLevel1_Name	Upgrade: M.E.G.A Scan		
Research/MRIMachineLevel2_CompleteMessage	Our researches have developed a new iteration of the M.E.G.A Scanner. It's great, really, like, almost too good for us, to be honest. Top drawer.\n\nYou've unlocked a new upgrade that can now be applied, to each machine, by a janitor qualified in mechanics.		
Research/MRIMachineLevel2_Description	Now that we have the machines running on full power, we could think about developing some upgrades to generate better diagnosis.		
Research/MRIMachineLevel2_Name	Advanced Upgrade: M.E.G.A Scan		
Research/MRIRoom_CompleteMessage	The boffins have done it again! The ultimate diagnosis machine. A massive scanner. It's a thing of beauty. It's powerful, but will require a Doctor with a Radiology Qualification.		
Research/MRIRoom_Description	With the discovery of X-Rays, some scientists have speculated on the possible existence of Y-Rays. Clearly that's absurd. Idiots. Let's design a massive magnet and see if it's useful for something.		
Research/MRIRoom_Name	M.E.G.A Scan		
Research/MiningBotcoins_CompleteMessage	We've completed that research and impressed people with our scientific integrity. I've binned the results and we've earned some Kudosh!		
Research/MiningBotcoins_Description	Conduct some impressive research to earn Kudosh from the medical community.		
Research/MiningBotcoins_Name	Generate Kudosh		
Research/MummyMachineLevel1_CompleteMessage	Rejoice. Our researchers have developed an upgrade that secretes a chemical into the treatment environment that should reverse some of the effects of the embalming liquids.\n\nYou've unlocked a new upgrade that can now be applied, to each machine, by a janitor qualified in mechanics.		
Research/MummyMachineLevel1_Description	We believe some of our ineffective treatments are caused by our current inability to counteract the embalming process. We should research methods for improving our treatment.		
Research/MummyMachineLevel1_Name	Upgrade: Cryptology		
Research/MummyMachineLevel2_CompleteMessage	We've found that dehydration, caused by salting, is a real road-block for our treatment success. That's why we've converted the anti-embalming chemicals into a moisturising mist.\n\nYou've unlocked a new upgrade that can now be applied, to each machine, by a janitor qualified in mechanics.		
Research/MummyMachineLevel2_Description	Research which part of the mummification process is most useful for us to combat, next.		
Research/MummyMachineLevel2_Name	Advanced Upgrade: Cryptology		
Research/MummyRoom_CompleteMessage	Our researchers have invented a new machine, the Decrypter! Use it to cure patients suffering from Premature Mummification.		
Research/MummyRoom_Description	Design a machine to remove bandages from patients afflicted with Premature Mummification.		
Research/MummyRoom_Name	Cryptology		
Research/PandemicMachineLevel1_CompleteMessage	Good news! We've revised the design for our Pandemic machinery.\n\nYou've unlocked a new upgrade that can now be applied, to each machine, by a janitor qualified in mechanics.		
Research/PandemicMachineLevel1_Description	Investigate improvements we can make to our treatment of Pandemic.		
Research/PandemicMachineLevel1_Name	Upgrade: Pans Lab		
Research/PandemicMachineLevel2_CompleteMessage	Here are our findings from the magnet experiments: we found that stronger magnets worked… Better.\n\nYou've unlocked a new upgrade that can now be applied, to each machine, by a janitor qualified in mechanics.		
Research/PandemicMachineLevel2_Description	Our research department believes that some tests on experimental magnet usage could greatly improve our tech.		
Research/PandemicMachineLevel2_Name	Advanced Upgrade: Pans Lab		
Research/PandemicRoom_CompleteMessage	Our researchers have designed a new machine to cure patients suffering from Pandemic.		
Research/PandemicRoom_Description	Design a machine to remove unwanted kitchen utensils from patients suffering from Pandemic.		
Research/PandemicRoom_Name	Pans Lab		
Research/Prerequisite_CompletedResearchProjects_CS	{[COUNT]} Research Project(s)		
Research/Prerequisite_GoldStars_CS	{[STARS]} Gold Stars		
Research/Prerequisite_IllnessDiagnosed_CS	Diagnoses Illness: {[ILLNESS]}		
Research/Prerequisite_IllnessUnlocked_CS	Unlocked Illness: {[ILLNESS]}		
Research/Prerequisite_Project_CS	Research Project {[PROJECT]}		
Research/Prerequisite_Qualification_CS	Qualification: {[QUALIFICATION]}		
Research/Prerequisite_RoomItemUpgrade_CS	Upgrade: {[UPGRADE]}		
Research/Prerequisite_RoomItem_CS	Room Item: {[ITEM]}		
Research/Prerequisite_Room_CS	Room: {[ROOM]}		
Research/ProjectComplete_CS	{[PROJECT]} complete!		
Research/Room_Complete_Advisor	Research project completed!\nNew room invented: {[REWARD]}		
Research/RunningMachineLevel1_CompleteMessage	We can now upgrade our equipment in cardiology to conduct more conclusive diagnosis.\n\nYou've unlocked a new upgrade that can now be applied, to each machine, by a janitor qualified in mechanics.		
Research/RunningMachineLevel1_Description	Some research could enable us to get more out of our tread- um, diagnostic running machines.		
Research/RunningMachineLevel1_Name	Upgrade: Cardiology		
Research/RunningMachineLevel2_CompleteMessage	Great news! Our running machines now give us more and better information. The best information, we don't even know what to do with it all, yet. Just kidding.\n\nYou've unlocked a new upgrade that can now be applied, to each machine, by a janitor qualified in mechanics.		
Research/RunningMachineLevel2_Description	We have some ideas that could improve the diagnostic benefits of our Cardiology department.		
Research/RunningMachineLevel2_Name	Advanced Upgrade: Cardiology		
Research/Training_Complete_Advisor	Research project completed!\nNew training course developed: {[REWARD]}		
Research/Training_CustomerService_CompleteMessage	Good news. We've developed a new training course on customer service. Train assistants to make them even more efficient.		
Research/Training_CustomerService_Description	Investigate new customer service techniques to help make our assistants even more efficient.		
Research/Training_CustomerService_Name	Training: Customer Service		
Research/Training_Diagnosis_CompleteMessage	Good news. We've developed a new training course on diagnostics. Train doctors and nurses to make them even better at diagnosis.		
Research/Training_Diagnosis_Description	Investigate new diagnostic methods to help improve the diagnosis skill of our doctors and nurses.		
Research/Training_Diagnosis_Name	Training: Diagnosis		
Research/Training_FireSafety_CompleteMessage	Good news. We've developed a new training course for janitors to help them fight fires.		
Research/Training_FireSafety_Description	Develop a new training course for janitors to help them fight fires.		
Research/Training_FireSafety_Name	Training: Fire Safety		
Research/Training_Fractures_CompleteMessage	Good news. We've developed a new training course for nurses to improve their skills on a fracture ward.		
Research/Training_Fractures_Description	Develop a new training course for nurses to improve their skills on a fracture ward.		
Research/Training_Fractures_Name	Training: Fractures		
Research/Training_GeneralPractice_CompleteMessage	Good news. We've developed a new training course for GPs. Train your doctors to make them even more effective in a GP's Office.		
Research/Training_GeneralPractice_Description	Investigate new general practice techniques to help us train even better GPs.		
Research/Training_GeneralPractice_Name	Training: General Practice		
Research/Training_General_CompleteMessage	Good news. We've developed a new training course!		
Research/Training_General_Description	Develop a new training course to help improve our staff.		
Research/Training_General_Energy_CompleteMessage	Good news. We've developed a new training course to help our staff work for longer before needing a break.		
Research/Training_General_Energy_Description	Develop a new training course to help our staff work for longer before needing a break.		
Research/Training_General_Energy_Name	Training: Stamina		
Research/Training_General_HappinessPatient_CompleteMessage	Good news. We've developed a new training course to help our doctors and nurses improve their bedside manner.		
Research/Training_General_HappinessPatient_Description	Develop a new training course to help our doctors and nurses keep their patients happy.		
Research/Training_General_HappinessPatient_Name	Training: Bedside Manner		
Research/Training_General_Happiness_CompleteMessage	Good news. We've developed a new training course to help keep our staff happy.		
Research/Training_General_Happiness_Description	Develop a new training course to help keep our staff happy.		
Research/Training_General_Happiness_Name	Training: Emotional Intelligence		
Research/Training_General_Hygiene_CompleteMessage	Good news. We've developed a new training course to make our staff more hygienic.		
Research/Training_General_Hygiene_Description	Develop a new training course to make our staff more hygienic.		
Research/Training_General_Hygiene_Name	Training: Hygiene		
Research/Training_General_Leadership_CompleteMessage	Good news. We've developed a new training course to improve the leadership skills of our staff, helping them to inspire others.		
Research/Training_General_Leadership_Description	Develop a new training course to improve the leadership skills of our staff, helping them to inspire others.		
Research/Training_General_Leadership_Name	Training: Leadership		
Research/Training_General_Name	Training		
Research/Training_General_Speed_CompleteMessage	Good news. We've developed a new training course to make our staff faster and more efficient.		
Research/Training_General_Speed_Description	Develop a new training course to make our staff faster and more efficient.		
Research/Training_General_Speed_Name	Training: Motivation		
Research/Training_General_Training_CompleteMessage	Good news. We've developed a new training course to make our staff better teachers, and better trainees too.		
Research/Training_General_Training_Description	Develop a new training course to make our staff better teachers, and better trainees too.		
Research/Training_General_Training_Name	Training: Education		
Research/Training_Maintenance_CompleteMessage	Good news. We've developed a new training course for janitors to improve their maintenance skills.		
Research/Training_Maintenance_Description	Develop a new training course for janitors to improve their maintenance skills.		
Research/Training_Maintenance_Name	Training: Maintenance		
Research/Training_Marketing_CompleteMessage	Good news. We've developed a new training course on marketing. Train our marketing team to make them even more productive during a campaign.		
Research/Training_Marketing_Description	Investigate new marketing techniques to help train even better marketers.		
Research/Training_Marketing_Name	Training: Marketing		
Research/Training_Mechanics_CompleteMessage	Good news. We've developed a new training course for janitors to improve their upgrading skills.		
Research/Training_Mechanics_Description	Develop a new training course for janitors to improve their upgrading skills.		
Research/Training_Mechanics_Name	Training: Mechanics		
Research/Training_Psychiatry_CompleteMessage	Good news. We've developed a new training course for psychiatrists. Train your psychiatrists to make them even better at psychiatry.		
Research/Training_Psychiatry_Description	Investigate new psychiatric techniques to help us train even better psychiatrists.		
Research/Training_Psychiatry_Name	Training: Psychiatry		
Research/Training_Research_CompleteMessage	Good news. We've developed a new training course for researchers. Train your researchers to make them even more productive.		
Research/Training_Research_Description	Investigate new research methods to help us train even better researchers.		
Research/Training_Research_Name	Training: Research		
Research/Training_Surgery_CompleteMessage	Good news. We've developed a new training course for surgeons. Train your surgeons to make them even better at surgery.		
Research/Training_Surgery_Description	Investigate new surgical techniques to help us train even better surgeons.		
Research/Training_Surgery_Name	Training: Surgery		
Research/Training_Treatment_CompleteMessage	Good news. We've developed a new training course on general treatment. Train doctors and nurses to make them even better at curing patients.		
Research/Training_Treatment_Description	Investigate new treatment methods to help improve the treatment skill of our doctors and nurses.		
Research/Training_Treatment_Name	Training: Treatment		
Research/Training_Ward_CompleteMessage	Good news. We've developed a new training course for nurses to improve their skills on a ward.		
Research/Training_Ward_Description	Develop a new training course for nurses to improve their skills on a ward.		
Research/Training_Ward_Name	Training: Ward Management		
Research/TurtleHeadMachineLevel1_CompleteMessage	Great news. We've developed new and improved leg clamps. Really technical, I know. But the simulation results were very promising!\n\nYou've unlocked a new upgrade that can now be applied, to each machine, by a janitor qualified in mechanics.		
Research/TurtleHeadMachineLevel1_Description	Research methods for making Turtle Head treatment more successful.		
Research/TurtleHeadMachineLevel1_Name	Upgrade: Head Office		
Research/TurtleHeadMachineLevel2_CompleteMessage	We've designed a new, composite, plunger material that is more responsive to the patient's, you know, head. Results should improve after this upgrade.\n\nYou've unlocked a new upgrade that can now be applied, to each machine, by a janitor qualified in mechanics.		
Research/TurtleHeadMachineLevel2_Description	We believe there's room for more improvements to our TurtleHead equipment.		
Research/TurtleHeadMachineLevel2_Name	Advanced Upgrade: Head Office		
Research/TurtleHeadRoom_CompleteMessage	Our research team have designed the ultimate head extraction device. It really is top notch. Patients with Turtle Head will be delighted.		
Research/TurtleHeadRoom_Description	Design a machine to carefully and violently extract submerged body parts. This will hopefully help us cure patients with Turtle Head.		
Research/TurtleHeadRoom_Name	Head Office		
Research/XRayMachineLevel1_CompleteMessage	The boffins in R&D have invented a new upgraded X-Ray machine! It's a bit more expensive, but will make it much easier to diagnose patients.\n\nYou've unlocked a new upgrade that can now be applied, to each machine, by a janitor qualified in mechanics.		
Research/XRayMachineLevel1_Description	Our research department think they could improve on our X-Ray Machine if you gave them some time. What do you think?		
Research/XRayMachineLevel1_Name	Upgrade: X-Ray		
Research/XRayMachineLevel2_CompleteMessage	The mega-nerds in R&D have invented an even better X-Ray machine, the XRM-3000. It's amazing!\n\nYou've unlocked a new upgrade that can now be applied, to each machine, by a janitor qualified in mechanics.		
Research/XRayMachineLevel2_Description	Research think they can improve on their last X-Ray machine. Care to let them stretch their theoretical legs? Not that their legs are theoretical…		
Research/XRayMachineLevel2_Name	Advanced Upgrade: X-Ray		
Research/XRayRoom_CompleteMessage	Good news, we've invented an X-Ray Machine! Now we can not only see through people's clothes, we can actually see inside them. This could be extremely useful for locating lost items. And maybe investigating internal injuries.		
Research/XRayRoom_Description	After Bungle Tech's discovery of V-Rays and W-Rays, which only vaporise one in every hundred patients, scientists have speculated on the possible existence of an "X" Ray. This could revolutionise patient diagnosis.		
Research/XRayRoom_Name	X-Ray		
Rivals/Rival_AlternativeMedicine_Name	Holistix		
Rivals/Rival_BigBad_Name	Jumbo Mega Corp		
Rivals/Rival_Cult_Name	The Orb Foundation		
Rivals/Rival_Science_Name	Bungle Medi-Tech		
Room/8Bit_Description	Cures patients with 8-bitten.\nTreats bytes from low-resolution bugs.		
Room/8Bit_Description_Long	High-tech machinery to uprez patients who are 8-bitten.\nTo improve cure rates, research and apply upgrades to the machine. Also use a doctor trained in treatment.		
Room/8Bit_Name	Resolution Lab		
Room/AnimalMagnetism_Description	Cures patients with Animal Magnetism.\nNo one should be unwillingly covered in animals.		
Room/AnimalMagnetism_Description_Long	High-tech machinery to remove unwanted animals from patients suffering from Animal Magnetism.\nTo improve cure rates, research and apply upgrades to the machine. Also use a nurse trained in treatment.		
Room/AnimalMagnetism_Name	Pest Control		
Room/Cafe_Description	A room dedicated to the feeding and entertaining of patients and staff.\nFor the fulfilling experience a vending machine can't offer.		
Room/Cafe_Description_Long	There's nothing more satisfying than a delicious meal in a hospital café. Vending machines are fine for a quick snack or drink, but a meal in a café will keep staff and patients satisfied for a lot longer.		
Room/Cafe_Name	Café		
Room/Cardio_Description	Basic Diagnosis.\nMaking sick people run could produce some interesting, and maybe even useful, results.		
Room/Cardio_Description_Long	Cardiology is a good first step in diagnosing a patient.\nTo improve results, you'll need upgrades for the machine. Also use a nurse trained in diagnostics.		
Room/Cardio_Name	Cardiology		
Room/Chromatherapy_Description	Cures patients with Grey Anatomy.\nReintroduce colour into your life. 		
Room/Chromatherapy_Description_Long	Patients suffering from Grey Anatomy are sent here to have their colour reapplied.\nTo improve cure rates, research and apply upgrades to the machine. Also use a nurse trained in treatment.		
Room/Chromatherapy_Name	Chromatherapy		
Room/ClownClinic_Description	Cures patients with Jest Infection.\nClowns are rehabilitated for post-circus life.		
Room/ClownClinic_Description_Long	Clowns are sent here for treatment, allowing them to return to a normal life.\nOriginally developed by The Orb Foundation, who have allowed other organisations to purchase the required equipment. Their patented 'dehumourfication' method recalibrates the minds of clowns, supporting their rehabilitation back into society.\nTo improve cure rates, you'll need upgrades for the machine. Also use a nurse trained in treatment.		
Room/ClownClinic_Name	Clown Clinic		
Room/Cubism_Description	Cures patients with Cubism.\nReconstitutional services for the discombobulated.		
Room/Cubism_Description_Long	Patients suffering from Cubism are sent here to be disassembled and recombobulated.\nTo improve cure rates, research and apply upgrades to the machine. Also use a doctor trained with extra treatment skills.		
Room/Cubism_Name	Recurvery Room		
Room/DLC_1/BarkingMad_Description	Cures patients with Barking Mad.\nNot suitable for actual dogs.		
Room/DLC_1/BarkingMad_Description_Long	The Doghouse is used to cure patients with Barking Mad.\nDon't be fooled by the familiar exterior, this is complex medical technology. The almost cartoonish look of this equipment might be unorthodox, but it soothes the sufferer and lures them into the jaws of the seamlessly housed equipment within.\nTo improve cure rates, you'll need upgrades for the machine. Also assign a nurse trained with extra treatment skills.		
Room/DLC_1/BarkingMad_Name	Doghouse		
Room/DLC_1/Frankenstein_Description	Cures patients with Monster Mishmash.\nPatients have their problems and disease blast-frozen out of them, hopefully.		
Room/DLC_1/Frankenstein_Description_Long	Reanimation is used to cure patients with Monster Mishmash.\nThe method is a modern take on an ancient method of rejuvenation, whereby cold water is used to refresh, reawaken and restore an individual not acting themselves. The sufferer is frozen solid and thawed in a matter of seconds, centring 'the self' and eliminating the monstrous pathogen.\nTo improve cure rates, you'll need upgrades for the machine. Also assign a doctor trained with extra treatment skills.		
Room/DLC_1/Frankenstein_Name	Reanimation		
Room/DLC_1/RobotZilla_Description	Cures patients with Metropolism.\nThis scale model of a cityscape enables patients to live out their urban dreams.		
Room/DLC_1/RobotZilla_Description_Long	Urban Mythology is used to cure patients with Metropolism.\nA complex combination of pullies, elastication and cardboard is used to recreate the archetypal city, as perceived by a sufferer of Metropolism. Within the simulation it is hoped that patients are able to vent their, now irrational, desires and return to a healthy, less fixated life.\nTo improve cure rates, you'll need upgrades for the machine. Also assign a nurse trained with extra treatment skills.		
Room/DLC_1/RobotZilla_Name	Urban Mythology		
Room/DLC_2/BlankLooks_Description	Cures patients with Blank Look.\nEmboss features onto blank faces with high-impact machinery. 		
Room/DLC_2/BlankLooks_Description_Long	Indentification is used to cure patients with Blank Look.\nAn astounding combination of early industrial force and ultra-modern, high-tech delicacy, expertly balanced to restore a patient from a state of facelessness. \nTo improve cure rates, you'll need upgrades for the machine. Also assign a nurse trained with extra treatment skills.		
Room/DLC_2/BlankLooks_Name	Indentification		
Room/DLC_2/EightBall_Description	Cures patients with Screwball.\nRemedies the sufferer's problems in a soothing, wood-clad environment.		
Room/DLC_2/EightBall_Description_Long	The Correcting Pool is used to cure patients with Screwball.\nOnce tests found that heads of the disease didn't just resemble snooker balls, but had developed a remarkably similar make-up it wasn't long before trials of, shall we say, 'thematic' machinery proved incredibly successful.\nTo improve cure rates, you'll need upgrades for the machine. Also assign a doctor trained with extra treatment skills.		
Room/DLC_2/EightBall_Name	Correcting Pool		
Room/DLC_2/Explorer_Description	Cures patients with Wanderust.\nImitates adventure, promoting a sense of achievement.		
Room/DLC_2/Explorer_Description_Long	The Escape Room is used to cure patients with Wanderust.\nProvides the experience of a haphazard and perilous adventure with a fraction of the danger. Cured patients will have their itch for exploration scratched and an immense sense of achievement based on nothing tangible.\nTo improve cure rates, you'll need upgrades for the machine. Also assign a nurse trained with extra treatment skills.		
Room/DLC_2/Explorer_Name	Escape Room		
Room/DLC_2/Parakeet_Description			
Room/DLC_2/Parakeet_Description_Long			
Room/DLC_2/Parakeet_Name	Bird Cage		
Room/DLC_3/Astro_Description	Cures patients with Lack of Humanity.\nAllow beings from other planets to move to Two Point County in seamless peace.		
Room/DLC_3/Astro_Description_Long	Personification is used to cure patients with Lack of Humanity.\nAliens can undergo a crash course in looking and acting human.\nTo improve cure rates, you'll need upgrades for the machine. Also assign a doctor trained with extra treatment skills.		
Room/DLC_3/Astro_Name	Personification		
Room/DLC_3/Cardboard_Description	Cures patients with Flat-Packed.\nConstructs individuals using most of the required parts.		
Room/DLC_3/Cardboard_Description_Long	Self-Assembly is used to cure patients with Flat-Packed.\nStationery should be used thematically, not to manually unjam machinery.\nTo improve cure rates, you'll need upgrades for the machine. Also assign a nurse trained with extra treatment skills.		
Room/DLC_3/Cardboard_Name	Self-Assembly		
Room/DLC_3/Frog_Description	Cures patients with Frogborne.\nTurns the frogs that we know into the frog-like aliens that we don't.		
Room/DLC_3/Frog_Description_Long	The Toad Hall is used to cure patients with Frogborne.\nDesigned like a nursery to promote the healthy development of our alien frog-like guests. Never mind that most of them are hundreds of years old.\nTo improve cure rates, you'll need upgrades for the machine. Also assign a nurse trained with extra treatment skills.		
Room/DLC_3/Frog_Name	Toad Hall		
Room/DLC_4/Pinocchio_Description	Cures patients with Woodworms.\nYou'll have a whale of a time.		
Room/DLC_4/Pinocchio_Description_Long	Woodwork is used to cure patients with Woodworms.\r\nAs the saying goes: don't be a muppet, get cured by a puppet.\r\nTo improve cure rates, you'll need upgrades for the machine. Also assign a nurse trained with extra treatment skills.		
Room/DLC_4/Pinocchio_Name	Woodwork		
Room/DLC_4/PlantWard_Description	Cures a range of illnesses.\nDig the power of the healing flower.		
Room/DLC_4/PlantWard_Description_Long	Herb Gardens are used to treat a range of herbaceous illnesses.\nA nurse is required to admit each patient, look after them, and discharge them when they're ready to leave.\nAdd multiple 'medical plants' to a Herb Garden to deal with more than one patient at a time.\nYou can also adjust the room settings to request that more nurses work here - this is useful if you have lots of patients.\nTo improve cure rates, you'll need to research upgrades. Also assign a nurse trained with extra treatment skills.		
Room/DLC_4/PlantWard_Name	Herb Garden		
Room/DLC_4/Scarecrow_Description	Cures patients with Distrawed.\nYields results, and straw, lots of straw.		
Room/DLC_4/Scarecrow_Description_Long	Farmacology is used to cure Distrawed patients.\r\nOnce removed from the patient, the strawy excess is recycled and used in one of the many ways that people use straw. I can't think of any right now, but they definitely exist.\r\nTo improve cure rates, you'll need upgrades for the machine. Also assign a nurse trained with extra treatment skills.		
Room/DLC_4/Scarecrow_Name	Farmacology		
Room/DLC_4/Tech_Description	Cures patients with Glitchy Patch.\nPrepare to Install.		
Room/DLC_4/Tech_Description_Long	Tech Support is used to cure patients with Glitchy Patch.\r\nDeal with a Glitchy Patch sooner rather than later, to avoid further irritation, or shutting down all of the County's technology simultaneously.\r\nTo improve cure rates, you'll need upgrades for the machine. Also assign a doctor trained with extra treatment skills.		
Room/DLC_4/Tech_Name	Tech Support		
Room/DNAAnalysis_Description	Cures a range of Genetic illnesses.\nHigh-Tech Diagnosis.\nAnalyse and Manipulate DNA.		
Room/DNAAnalysis_Description_Long	The DNA Lab is used to cure a range of peculiar genetic conditions. It is also a powerful tool for diagnosis. This room requires a Doctor trained in Genetics.\nTo improve results, research and apply upgrades to the machine. Also use a doctor trained with extra diagnosis and treatment skills.		
Room/DNAAnalysis_Name	DNA Lab		
Room/ElectricShock_Description	Cures patients with Shock Horror.\nFarms electricity from charged patients.		
Room/ElectricShock_Description_Long	Patients suffering from Shock Horror are sent here to be discharged, after which they can be… discharged.\nTo improve cure rates, research and apply upgrades to the machine. Also use a doctor trained with extra treatment skills.		
Room/ElectricShock_Name	Shock Clinic		
Room/Filters/All	All		
Room/Filters/Diagnosis	Diagnosis		
Room/Filters/Facilities	Facilities		
Room/Filters/Treatment	Treatment		
Room/FluidAnalysis_Description	High-Tech Diagnosis.\nExtracts fluids for analysis, and sometimes for fun.		
Room/FluidAnalysis_Description_Long	A high-tech diagnosis machine extracts fluids. Primarily for investigation, but sometimes just for fun.\nTo improve results, research and apply upgrades to the machine. Also use a nurse trained in diagnostics.		
Room/FluidAnalysis_Name	Fluid Analysis		
Room/FractureWard_Description	Cures a range of Bone-related injuries.\nThere's nothing so broken that papier-mâché won't help.		
Room/FractureWard_Description_Long	Fracture Wards are used to treat a range of bone-related injuries. A nurse is required to admit each patient, look after them, and discharge them when they're ready to leave.\nAdd multiple beds to a ward to deal with more than one patient at a time.\nYou can also adjust the room settings to request that more nurses work here - this is useful if you have lots of patients.\nTo improve cure rates, use nurses trained in ward management.		
Room/FractureWard_Name	Fracture Ward		
Room/GPOffice_Description	Diagnosis, consultation and basic human interaction.\nPatients must visit a GP at each stage of diagnosis. The GP decides where to send them next.		
Room/GPOffice_Description_Long	The General Practitioner's Office is one of the most important rooms in any hospital. After a patient checks in at reception, they will be sent to see a doctor at a GP's Office. The doctor will perform preliminary diagnosis, and decide where to send the patient next.\n\nIf the diagnosis certainty is high enough, the doctor will identify the illness and send the patient for the appropriate treatment.\n\nOtherwise, the doctor will send the patient for further diagnosis. The doctor will select a type of diagnosis available in the hospital that has not already been used with this patient, choosing the one they think will be most informative based on their level of expertise.\n\nAfter a patient has been for further diagnosis, they will return to a GP's Office. A doctor will review their diagnosis progress, adding to it where possible, and decide on next steps.		
Room/GPOffice_Name	GP's Offices[i2p_Zero]GP's Office[i2p_One]GP's Office		
Room/GeneralDiagnosis_Description	Basic Diagnosis.\nFor scanning and reflex checks.		
Room/GeneralDiagnosis_Description_Long	A basic diagnosis room, a good next step if a GP can't diagnose a patient.\nTo improve results, you'll need upgrades for the machine. Also use a nurse trained in diagnostics.		
Room/GeneralDiagnosis_Name	General Diagnosis		
Room/HospitalBuilding_Description	Hospital in progress		
Room/HospitalBuilding_Name	Hospital Building		
Room/HospitalUnbuilt_Description	Potential hospital building		
Room/HospitalUnbuilt_Name	Hospital Unbuilt		
Room/Hospital_Description	Hospital Building		
Room/Hospital_Name	Hospital		
Room/Injection_Description	Cures a range of illnesses.\nThe pointiest of all the treatment methods.		
Room/Injection_Description_Long	Injections are used to treat a range of illnesses.\nTo improve cure rates, research and apply upgrades to the machine. Also use a nurse trained with extra treatment skills.		
Room/Injection_Name	Injection Room		
Room/LightHeaded_Description	Cures patients with Lightheadedness.\nUn-screwing heads since 2017.		
Room/LightHeaded_Description_Long	The De-Lux Clinic cures patients suffering from Lightheadedness. The machine unscrews their bulbous head and replaces it with a 3D printed substitute. The new head is entirely useless but usually looks vaguely acceptable.\nTo improve cure rates, you'll need upgrades for the machine. Also assign a doctor trained with extra treatment skills.		
Room/LightHeaded_Name	De-Lux Clinic		
Room/MRIScanner_Description	Super-High-Tech Diagnosis.\nThe secret ingredient is magnets, or something.		
Room/MRIScanner_Description_Long	A super high-tech diagnosis room. Great for diagnosing a wide range of illnesses.\nTo improve results, research and apply upgrades to the M.E.G.A. Scanner. Also use doctors trained in diagnostics or radiology.		
Room/MRIScanner_Name	M.E.G.A Scan		
Room/Marketing_Description	Run marketing campaigns to improve hospital reputation, attract patients with particular illnesses and staff of certain types.\nStart a marketing campaign by selecting a marketing table and choosing a campaign.		
Room/Marketing_Description_Long	Marketing is a great way to improve the hospital's reputation, and attract more patients and staff to the hospital.\nTo start a marketing campaign, click on the Marketing Table, or drop an Assistant with a Marketing Qualification into the room.\nGeneral campaigns improve the hospital's overall reputation.\nRecruitment campaigns attract more job applicants of various types.\nIllness campaigns attract more patients exhibiting certain symptoms, and improve your reputation with specific illnesses. Note: Unlock more illness campaigns by discovering more illnesses in each area.\nTo improve results, assign more marketing staff to the room, and use staff trained in higher levels of marketing.		
Room/Marketing_Name	Marketing		
Room/Modifiers/Diagnosis_Description_CS	{[AMOUNT]} Diagnosis Power		
Room/Modifiers/Research_Description_CS	{[AMOUNT]} Research Power		
Room/Modifiers/Training_Description_CS	{[AMOUNT]} Training Speed		
Room/Modifiers/Treatment_Description_CS	{[AMOUNT]} Treatment Power		
Room/MummyClinic_Description	Cures patients with Premature Mummification.\nTakes the man out of the monster, but not the other way around.		
Room/MummyClinic_Description_Long	Cryptology is used to cure patients suffering from Premature Mummification. The bandages are carefully removed in the hope that this will remind the patient that they are actually still alive.\nTo improve cure rates, research and apply upgrades to the machine. Also assign a nurse trained with extra treatment skills.		
Room/MummyClinic_Name	Cryptology		
Room/OperatingTheater_Description	Cures a range of illnesses.\nHome of the age-old 'Cut Them Open' method.		
Room/OperatingTheater_Description_Long	Surgery is used to treat a range of illnesses. This requires a Doctor trained in Surgery, and a Nurse to assist them.\nTo improve cure rates, assign a doctor trained with higher levels of surgery skill.		
Room/OperatingTheater_Name	Surgery		
Room/PandemicClinic_Description	Cures patients with Pandemic.\nRemoves pans from the head stuck within them.		
Room/PandemicClinic_Description_Long	The Pans Lab is used to cure Pandemic patients.\nOriginally designed by Bungle Technologies, the company has allowed other organisations to purchase the required machinery.\nTo improve cure rates, you'll need upgrades for the machine. Also assign a doctor trained with extra treatment skills.		
Room/PandemicClinic_Name	Pans Lab		
Room/Pharmacy_Description	Cures a range of illnesses.\nServes everything on the medicinal menu.		
Room/Pharmacy_Description_Long	Pharmacies are used to cure a range of illnesses.\nTo improve cure rates, you'll need upgrades for the machine. Also assign a nurse trained with extra treatment skills.		
Room/Pharmacy_Name	Pharmacy		
