ARIAL SDF	Fonts & Materials/ARIAL SDF
Research/AnimalMagnetismRoom_CompleteMessage	우리는 동물의 자기 문제를 해결하도록 설계된 새로운 장비를 발명했습니다.
Research/AnimalMagnetismRoom_Description	사람에게 붙어있는 원치 않는 짐승을 말소하는 장비를 설계하십시오.
Research/AnimalMagnetismRoom_Name	해충 구제
Research/AstroMachineLevel1_CompleteMessage	우리는 해냈습니다! 치료받은 외계인은 이제 이전보다 훨씬 더 위장되었습니다. 아, 그리고 그들은 이전보다 더 자주 치료를 받고 있습니다. 그것은 보너스입니다.\n\n당신은 이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/AstroMachineLevel1_Description	외계인을 위장하는 방법을 개선해보십시오.
Research/AstroMachineLevel1_Name	업그레이드 : 의인화
Research/AstroMachineLevel2_CompleteMessage	좋은 소식! 과정이 완성되었습니다. 예외적 인 의료 속임수의 대부분은 안전한 모호함입니다.\n\n이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/AstroMachineLevel2_Description	Spin-Doctor를 개선할 수 있는 기능을 사용해보십시오.
Research/AstroMachineLevel2_Name	고급 업그레이드 : 의인화
Research/CapturedGhost_CS	{[NAME]} 포획
Research/CapturedGhost_ResearchPoints_CS	+{[POINTS]} 연구 점수
Research/CardboardMachineLevel1_CompleteMessage	성공! 파쇄 유닛을 강화하기 위해 수정을 개발했습니다. 환자를 쉽게 제거할 수 있습니다. 이제 치료가 훨씬 더 나아질 것입니다.\n\n기계공학 자격을 갖춘 관리인이 이제 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/CardboardMachineLevel1_Description	발생하는 이상한 재밍 현상을 방지할 수 있는 방법을 조사하십시오.
Research/CardboardMachineLevel1_Name	업그레이드 : 자체 조립
Research/CardboardMachineLevel2_CompleteMessage	훨씬 더 복잡한 접착제와 공예 종이를 사용하여 누구나할 수 있는 Flat-Packed에 대한 가장 진보된 치료법을 개발했습니다.\n\n지금 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다. 기계공학 자격을 갖춘 관리인이 각 장비에
Research/CardboardMachineLevel2_Description	우리 장비의 예술 및 공예 장비 선택을 더 정교하게 만드는 것을 고려하십시오.
Research/CardboardMachineLevel2_Name	고급 업그레이드 : 자체 조립
Research/ChromatherapyMachineLevel1_CompleteMessage	우리의 연구에 따르면 우리의 크로마테라피 장비를 개선할 수 있는 몇 가지 개선 사항이 있습니다.\n\n당신은 이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/ChromatherapyMachineLevel1_Description	그레이색 아나토미 치료를 개선하는 방법을 연구합니다.
Research/ChromatherapyMachineLevel1_Name	업그레이드 : 크로마테라피
Research/ChromatherapyMachineLevel2_CompleteMessage	우리는 크로마테라피에 대한 우리의 디자인을 획기적으로 개선할 수 있는 방법을 찾았습니다. 크래킹.\n\n이제 기계공학 자격을 갖춘 관리인이 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/ChromatherapyMachineLevel2_Description	그레이색 아나토미의 치료에서 마지막으로 남은 비 효율성을 부드럽게 처리하십시오.
Research/ChromatherapyMachineLevel2_Name	고급 업그레이드 : 크로마테라피
Research/ChromatherapyRoom_CompleteMessage	우리 boffin은 크로마테라피 장비를 설계했습니다! 그것을 사용하여 그레이색 아나토미를 치료하십시오.
Research/ChromatherapyRoom_Description	그레이색 아나토미을 치료하는 장비를 설계하십시오.
Research/ChromatherapyRoom_Name	크로마테라피
Research/ClownMachineLevel1_CompleteMessage	어릿 광대 치료 장비를 개선할 수 있는 방법을 찾았습니다!\n\n이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/ClownMachineLevel1_Description	광대 재활 과정을 개선하기 위한 새로운 방법을 연구하십시오.
Research/ClownMachineLevel1_Name	업그레이드 : 광대 클리닉
Research/ClownMachineLevel2_CompleteMessage	정밀한 미세 조정을 통해 기발한 트라우마를 훨씬 더 성공적으로 제거할 수 있는 장비를 사용할 수 있습니다!\n\n기계공학 자격을 갖춘 관리인이 이제 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/ClownMachineLevel2_Description	더 나은 재활 광대를위한 방법을 조사하십시오.
Research/ClownMachineLevel2_Name	고급 업그레이드 : 광대 클리닉
Research/ClownRoom_CompleteMessage	우리 연구원들은 Jest 감염으로 고통받는 환자를 치료하기 위해 새로운 장비를 설계했습니다.
Research/ClownRoom_Description	허파에 바람으로 고통받는 환자를 치료하는 장비를 설계하십시오.
Research/ClownRoom_Name	광대 클리닉
Research/CubismMachineLevel1_CompleteMessage	우리는 환자 상태의 뉘앙스를 표적으로 삼을 수 있는 향상된 정보를 제공하는 장비를 개발했습니다.\n\n기계공학 자격을 갖춘 관리인이 이제 각 시스템에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/CubismMachineLevel1_Description	우리 연구원들은 환자의 특정 상태를 담당하는 아티스트의 기본 비율을 식별하고 이에 대응하여 환자를 더 잘 치료하는 방법을 개발할 수 있다고 생각합니다.
Research/CubismMachineLevel1_Name	업그레이드 : 재귀 시설
Research/CubismMachineLevel2_CompleteDescription	우리의 최신 장비는 이제 질병을 일으킨 삽화에 영감을 준 삽화를 결정할 수 있습니다. 이것은 훨씬 더 부드러운 재결합 프로세스로 이어질 것입니다. 예술입니다.\n\n당신은 이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/CubismMachineLevel2_Description	우리 연구원들은 우리의 치료법을 약간 조정하면 인상 주의적 뿌리에서 질병을 해결할 수 있다고 믿습니다.
Research/CubismMachineLevel2_Name	고급 업그레이드 : 재귀 시설
Research/CubismRoom_CompleteMessage	우리 연구진은 Cubism 환자를 분해하고 재결합하는 데 이상적인 Recurvery Unit을 설계했습니다.
Research/CubismRoom_Description	Cubism으로 고통받는 환자를 재구성하는 장비를 설계하십시오.
Research/CubismRoom_Name	곡률 회복실
Research/DLC_1/BarkingMadMachineLevel1_CompleteMessage	좋은 소식이 있습니다. 연구 결과 환자가 개 신원을보다 일관되게 거부하는 데 도움이되는 업그레이드가 밝혀졌습니다.\n\n이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/DLC_1/BarkingMadMachineLevel1_Description	Barking Mad 치료에 사용되는 장비를 개선해보십시오.
Research/DLC_1/BarkingMadMachineLevel1_Name	업그레이드 : 개집
Research/DLC_1/BarkingMadMachineLevel2_CompleteMessage	우리는 구현시 Barking Mad를 가장 포괄적으로 처리할 수 있는 새로운 업그레이드를 설계했습니다.\n\n기계공학 자격을 갖춘 관리인이 이제 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다. .
Research/DLC_1/BarkingMadMachineLevel2_Description	Barking Mad 장비를 더욱 개선하기 위한 연구 방법.
Research/DLC_1/BarkingMadMachineLevel2_Name	고급 업그레이드 : 개집
Research/DLC_1/BarkingMadRoom_CompleteMessage	우리는 개를 사람으로 되 돌리는 기술을 개발했습니다.
Research/DLC_1/BarkingMadRoom_Description	Barking Mad 환자를 치료하기 위한 장비를 설계합니다.
Research/DLC_1/BarkingMadRoom_Name	개집
Research/DLC_1/FrankensteinMachineLevel1_CompleteMessage	우리는 더 성공적인 냉동 과정으로 이어질 개선을 개발했습니다. 이 새로운 기술은 우리가 더 많은 환자를 치료하는 데 도움이될 것입니다.\n\n당신은 이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/DLC_1/FrankensteinMachineLevel1_Description	극저온 처리 프로세스를 개선하는 방법을 조사하십시오.
Research/DLC_1/FrankensteinMachineLevel1_Name	업그레이드 : 되살리기
Research/DLC_1/FrankensteinMachineLevel2_CompleteMessage	나는 이것이 모든 기술적으로 들리지는 않을 것이라는 것을 알고 있지만, 우리는 전체를… 발톱… 일을 훨씬 더 효과적으로 만드는 우리 장비를 개선할 수 있는 것을 발견했습니다. 저를 믿으세요. 정말 좋은 소식입니다.\n\n기계공학 자격을 갖춘 관리인이 이제 각 컴퓨터에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/DLC_1/FrankensteinMachineLevel2_Description	극저온 처리 공정을 완벽하게하기 위해 만들 수 있는 연구 개선.
Research/DLC_1/FrankensteinMachineLevel2_Name	고급 업그레이드 : 다시 애니메이션
Research/DLC_1/FrankensteinRoom_CompleteMessage	이제 Monster Mishmash로 환자를 치료할 수 있습니다.
Research/DLC_1/FrankensteinRoom_Description	Monster Mishmash에 대한 치료법을 개발하십시오.
Research/DLC_1/FrankensteinRoom_Name	되살리기
Research/DLC_1/MoreTraining_Project1_CompleteMessage	우리는 해냈고 이제 스크립트는 함께 유지됩니다. 우리의 분석에 따르면 집사가 그랬거나 꿈을 꾸는 것이 중요했거나 착한 사람이 실제로 나쁜 사람이거나 뭔가 ... 솔직히 기억할 수는 없지만별로 좋아 보이지는 않았지만 그것을 우리 자신에게 맡기자.
Research/DLC_1/MoreTraining_Project1_Description	영화 배우이자 자칭 작가이자 감독 인 로데릭 쿠션은 그와 Plump it Up Productions Ltd의 '발명 팀'이 완성할 수없는 또 다른 대본을 가지고 있습니다. 그래서 이제 그는 과학으로 전환했습니다. 분석을 수행하고 대본의 줄거리 구멍을 조정할 수 있다면 그들은 우리에게 돈을 보낼 것이고, 이것이 만들어지면 우리는 크레딧에 포함될 것입니다 ...
Research/DLC_1/MoreTraining_Project1_Name	로데릭의 음모 구멍
Research/DLC_1/MoreTraining_Project2_CompleteMessage	Roachburger 메뉴에 대한 분석을 마치고 RB 본사로 보냈습니다. 그들은 수십명의 변호사와 세명의 전문가를 고용했으며 분명히 고발자들과 합의를 위해 노력했습니다. 그것은 엄청난 스캔들 엉망이었고 우리의 연구는 육즙이 많고 신비한 중심에서 이루어졌습니다. 이것은 현재 카운티 연구의 힘이된 연구소에 대한 큰 홍보였습니다.
Research/DLC_1/MoreTraining_Project2_Description	연구소의 부활에 대한 소문이 카운티에 전 해졌고 이제 우리는 보상을 받았습니다. 연구소는 반세기 만에 가장 큰 조사를 받았습니다. Roachburger의 소유자는 전체 메뉴에 대한 분석을 수행하라는 법원명령을 받았습니다. 이 사건은 카운티 전체의 언론 행사이며 연구소를 새로운 차원으로 끌어 올릴 수 있습니다.
Research/DLC_1/MoreTraining_Project2_Name	Roachburger 스캔들
Research/DLC_1/MoreTraining_Project3_CompleteMessage	투 포인트 카운티의 삶에 대한 종합적인 평가를 마쳤습니다. 시장실은 결과가 정확히 그들이 두려워했던 것이라고 말했다. 그들은 더 이상 프로젝트를 추구하거나 결과를 발표하지 않을 것이지만 우리의 협력과이 문제에 대한 지속적인 침묵에 감사드립니다. 약간 사악한 것 같지만 Two Point의 정부와 협력하여 분명히 "모든 것이 이미 완벽하다는 것을 확인한"이 프로젝트에서 Swelbard를 카운티의 결정적인 연구 센터로 굳혔습니다.
Research/DLC_1/MoreTraining_Project3_Description	Windsock 시장은 그녀의 캠페인에서 투 포인트 카운티 생활에 대한 평가를 너무 철저히 이끌어 민간인의 삶을 개선하기 위해 사회를 재구성해야하는지 그리고 어떻게해야하는지에 대한 결론을 내릴 것이라고 약속했습니다. 시장실은이 정부 연구를 수행하기 위해 우리와 연락을 취했으며 그 결과는 카운티의 미래를 (영원히) 정의할 수 있습니다.
Research/DLC_1/MoreTraining_Project3_Name	프로젝트 Windsock
Research/DLC_1/MoreTraining_Project4_CompleteMessage	좋은 소식이 있습니다. Cheesy Gubbins의 작업을 완료했습니다. 각 구빈의 치즈 프로파일이 0.01 % 증가했습니다. 그들은 감격합니다.
Research/DLC_1/MoreTraining_Project4_Description	Cheesy Gubbins의 제작자는 최첨단 요리 과학의 일부를 아웃소싱하기 위해 노력하고 있으며 그들과 함께 일하는 데 관심이 있는지 물었습니다. 그들은 그들의 유명한 구빈을 더 치즈보다 더 맛있게 만들기를 바라고 있습니다. 그래서 우리는 그들의 레시피의 구성을 분석하여 치즈 밀도가 더 증폭될 수 있는지 확인하기를 원합니다.
Research/DLC_1/MoreTraining_Project4_Name	치저 구 빈스
Research/DLC_1/RobotZillaMachineLevel1_CompleteMessage	우리는 좀 더 몰입적이고 치료적인 경험으로 이어질 것으로 믿고있는 몇 가지 개선 사항을 개발했습니다.\n\n이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/DLC_1/RobotZillaMachineLevel1_Description	Metropolism 치료를 개선할 수 있는 방법을 연구하십시오.
Research/DLC_1/RobotZillaMachineLevel1_Name	업그레이드 : 도시 신화
Research/DLC_1/RobotZillaMachineLevel2_CompleteMessage	이제 우리 장비의 최상의 반복을 실현할 수 있습니다. 우리는 시뮬레이션이 이제 고통받는 사람들이 도시를 상상하는 것과 완전히 분간할 수 없다고 믿습니다.\n\n당신은 이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/DLC_1/RobotZillaMachineLevel2_Description	우리는 Metropolism에 대한 이해를 극대화하고 치료 장비의 최종 업그레이드를 생산하는 데 거의 가까워 졌다고 생각합니다.
Research/DLC_1/RobotZillaMachineLevel2_Name	고급 업그레이드 : 도시 신화
Research/DLC_1/RobotzillaRoom_CompleteMessage	우리는 그 오래된 청사진에 대한 테스트 실행을 마쳤고 몇 가지 조정 후 일부 오래된 재료를 이후 발견된 것으로 교체하면 치료가 정말 잘 작동할 것입니다. 과학자 여러분, 여기 있습니다.
Research/DLC_1/RobotzillaRoom_Description	연구소를 인수했을 때 Metropolism에 대한 치료 계획을 찾았습니다. 청사진은 꽤 오래되었지만 몇 가지 테스트를 실행하여 유용한 것이 있는지 확인해야 합니다.
Research/DLC_1/RobotzillaRoom_Name	도시 신화
Research/DLC_1/RobotzillaRoom_SandboxCompleteMessage	우리는 Reptilian과 Mechanical Metropolism 모두에 대한 치료법을 만들었습니다.
Research/DLC_1/RobotzillaRoom_Sandbox_Description	Metropolism 환자에게 절실히 필요한 치료법을 개발하십시오.
Research/DLC_2/8BallMachineLevel1_CompleteMessage	우리 연구진은 Autocue에 훨씬 더 선명하고 의학적으로 우수한 '샷'을 제공할 새로운 기술을 설계했습니다.\n\n이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/DLC_2/8BallMachineLevel1_Description	장비의 볼 타격 능력을 향상시키기 위해 몇 가지 시뮬레이션을 실행하십시오.
Research/DLC_2/8BallMachineLevel1_Name	업그레이드 : 수정 풀
Research/DLC_2/8BallMachineLevel2_CompleteMessage	최신 업데이트는 투 포인트 카운티의 9명의 최고의 스누커 선수 중 7명의 두뇌 활동을 연구하여 얻은 데이터를 통합하여 인류 역사상 가장 유능한 큐 휘두르는 의료 장비를 만듭니다.\n\n할 수 있는 새로운 업그레이드를 잠금 해제했습니다. 이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용합니다.
Research/DLC_2/8BallMachineLevel2_Description	우리는 스크루 볼 치료를위한 장비를 완성하는 데 거의 근접했다고 생각합니다.
Research/DLC_2/8BallMachineLevel2_Name	고급 업그레이드 : 풀 수정
Research/DLC_2/8BallRoom_CompleteMessage	우리는 새로운 장비를 개발했습니다! Autocue는 Screwball로 고통받는 환자를 치료해야 합니다.
Research/DLC_2/8BallRoom_Description	스크류 볼로 환자를 치료하는 방법을 설계합니다.
Research/DLC_2/8BallRoom_Name	풀 수정
Research/DLC_2/BlankLooksMachineLevel1_CompleteMessage	좋은 소식. 스탬프 가속화를 최적화하는 업그레이드를 개발했습니다. 얼굴은 이제 훨씬 더 성공적인 속도로 호스트에게 전달되어야합니다.\n\n기계공학 자격을 갖춘 관리인이 이제 각 컴퓨터에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/DLC_2/BlankLooksMachineLevel1_Description	블랭크 룩의 치료를 개선하는 방법을 알아보십시오.
Research/DLC_2/BlankLooksMachineLevel1_Name	업그레이드 : 식별
Research/DLC_2/BlankLooksMachineLevel2_CompleteMessage	우리는 '2 차 스탬핑 단계'의 사소한 결함이 나머지 치료 방법을 실망시키는 것을 발견했습니다. 이 다음 업그레이드는 이 문제를 해결하고 기술을 멋지게 마무리할 것입니다.\n\n기계공학 자격을 갖춘 관리인이 이제 각 시스템에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/DLC_2/BlankLooksMachineLevel2_Description	식별 장비를 완벽하게 만드는 방법을 찾으십시오.
Research/DLC_2/BlankLooksMachineLevel2_Name	고급 업그레이드 : 식별
Research/DLC_2/BlankLooksRoom_CompleteMessage	좋은 소식. 우리의 최신 연구는 Face Stamp에 대한 계획을 세웠습니다. 이것은 특징없는 치료법을 제공해야 합니다.
Research/DLC_2/BlankLooksRoom_Description	Blank Look으로 환자를 치료하는 방법을 연구하십시오.
Research/DLC_2/BlankLooksRoom_Name	식별
Research/DLC_2/ExplorerMachineLevel1_CompleteMessage	우리는 그 어느 때보 다 환자를 놀라게하고 치료할 수 있는 개선 기능을 개발했습니다.\n\n이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/DLC_2/ExplorerMachineLevel1_Description	우리 연구원들은 우리가 Wanderust 치료를 개선하는 방법을 조사해야한다고 생각합니다.
Research/DLC_2/ExplorerMachineLevel1_Name	업그레이드 : 방탈출
Research/DLC_2/ExplorerMachineLevel2_CompleteMessage	이 최신 개선은 우리 시설을 가장 안전하고 겉보기에 치명적인 경험으로 바꾸어 놓을 것입니다.\n\n이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/DLC_2/ExplorerMachineLevel2_Description	방탈출 장비에 적용될 수 있는 추가 개선 사항을 조사하십시오.
Research/DLC_2/ExplorerMachineLevel2_Name	고급 업그레이드 : 방탈출
Research/DLC_2/ExplorerRoom_CompleteMessage	방탈출 용 디자인을 제작했습니다! 이제 우리는 모험에 시달리는 방문객을 치료하는 치료법을 가지고 있습니다.
Research/DLC_2/ExplorerRoom_Description	Wanderust 환자를위한 치료법을 개발하십시오.
Research/DLC_2/ExplorerRoom_Name	방탈출
Research/DLC_3/AstroRoom_CompleteMessage	성공! 우리는 외계인을 인간으로 가장하는 새로운 방법을 개발했으며 정말 빠르게 회전합니다! 나는 그것이 타는 것이 아니며 인간에게 결코 안전하지 않다는 것을 강조해야 합니다. 그래도 재미 있습니다.
Research/DLC_3/AstroRoom_Description	외계인을 인간처럼 보이게 만드는 방법을 개발하십시오.
Research/DLC_3/AstroRoom_Name	의인
Research/DLC_3/CardboardRoom_CompleteMessage	좋은 소식! 우리는 골판지처럼 보이는 사람들을위한 치료법을 디자인했습니다. 그들은 안심할 것입니다.
Research/DLC_3/CardboardRoom_Description	골판지 사람들을 '포장'하는 방법을 알아 내십시오.
Research/DLC_3/CardboardRoom_Name	자체 조립
Research/DLC_3/FrogRoom_CompleteMessage	우리는 해냈습니다! 이제 우리는 그 개구리 외계인이 다시 자신처럼 느끼고 보이도록 도울 수 있습니다.
Research/DLC_3/FrogRoom_Description	개구리 (등)를 개구리 같은 사람으로 변형시키는 장비를 설계하십시오.
Research/DLC_3/FrogRoom_Name	두꺼비 홀
Research/DLC_4/PinocchioMachineLevel1_CompleteMessage	이 최신 업그레이드를 통해 환자는 고래에 삼켜지고 있다고 믿게될 것입니다. 말할 필요도없이, 우리는 더 나은 결과를 기대합니다.\n\n당신은 이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/DLC_4/PinocchioMachineLevel1_Description	연극 적 몰입 수준을 높여 치료를 개선하십시오. 
Research/DLC_4/PinocchioMachineLevel1_Name	업그레이드 : 목공예
Research/DLC_4/PinocchioMachineLevel2_CompleteMessage	이 업그레이드는 Woodworms에 대한 우리의 치료를 완성했습니다. 당신은 목공예가 이렇게 잘될 것이라고 생각하지 않을 것입니다… 좋은 일입니다.\n\n당신은 이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/DLC_4/PinocchioMachineLevel2_Description	꼭두각시와 같은 환자의 치료를 개선하기 위해 몇 가지 끈을 당기십시오.
Research/DLC_4/PinocchioMachineLevel2_Name	고급 업그레이드 : 목공예
Research/DLC_4/PinocchioRoom_CompleteMessage	물론, 인형을 더 많은 인형처럼 취급하는 것은 없습니다. 이제 우리는 Woodworms로 고통받는 환자를 치료할 수 있습니다.
Research/DLC_4/PinocchioRoom_Description	Woodworms 환자를 치료하는 방법을 알아 내십시오.
Research/DLC_4/PinocchioRoom_Name	목조 부분
Research/DLC_4/PlantWard_CompleteMessage	좋은 소식이 있습니다. 허브 가든의 개발과 함께 병든 사람들을 심을 수 있는 새로운 장소가 생겼습니다.
Research/DLC_4/PlantWard_Description	새로운 질병을 치료하고 좀 더 정원 센터처럼될 수 있도록 약초학을 닦으십시오.
Research/DLC_4/PlantWard_FlowerBedUpgrade_CompleteMessage	이 마지막 프로젝트 이후, 우리 연구 부서는 더럽혀진 TV 발표자 100명보다 정원 가꾸기에 대해 더 많이 알고 있습니다. 그들은 병원 주변의 조경에 대해 진지한 생각을 가지고 있다고 말합니다 ...\n\n당신은 이제 기계공학 자격을 갖춘 관리인이 각 화단에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/DLC_4/PlantWard_FlowerBedUpgrade_Description	수년간의 꽃이 만발한 데이터와 원예 매뉴얼을 교차 조사하여 약초 요법을 극대화할 수 있는 방법을 알아보십시오.
Research/DLC_4/PlantWard_FlowerBedUpgrade_Name	업그레이드 : 허브 가든
Research/DLC_4/PlantWard_Name	허브 가든
Research/DLC_4/ScarecrowMachineLevel1_CompleteMessage	뭔지 맞춰봐? 그 연구는 완벽하게 진행되었습니다. 네 진짜로 요. 건강 관리는 이전에 이와 같은 타작을 본 적이 없습니다.\n\n이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/DLC_4/ScarecrowMachineLevel1_Description	'의료 탈곡'구성 요소에 대한 잠재적 개선 사항을 조사하십시오.
Research/DLC_4/ScarecrowMachineLevel1_Name	업그레이드 : Farmacology
Research/DLC_4/ScarecrowMachineLevel2_CompleteMessage	최신 업그레이드를 통해 우리 장비는 실제 농장에서 제자리에서 보이지 않을 것입니다. 그들은 여전히 그것을 어떤 용도로도 사용할 수 없었지만 이제는 실제로 사용할 수 있는 것처럼 보입니다.\n\n기계공학 자격을 갖춘 관리인이 이제 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/DLC_4/ScarecrowMachineLevel2_Description	완벽한 환자 채취 프로세스를 개발하십시오.
Research/DLC_4/ScarecrowMachineLevel2_Name	고급 업그레이드 : Farmacology
Research/DLC_4/ScarecrowRoom_CompleteMessage	우리의 새로운 장비는 한 번에 한 가지 치료법으로 밀짚 남자를 처리하도록 설계되었습니다.
Research/DLC_4/ScarecrowRoom_Description	치료법을 개발하여 Distrawed에게 "안녕하세요"라고 말합니다.
Research/DLC_4/ScarecrowRoom_Name	농장 학
Research/DLC_4/TechMachineLevel1_CompleteMessage	뉴스! 엄청나게 훌륭한 그래픽 카드를 추가하면 우리의 치료가 더 성공적이고 더 많은 그래픽이될 것임을 발견했습니다.\n\n기계공학 자격을 갖춘 관리인이 이제 각 컴퓨터에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다. .
Research/DLC_4/TechMachineLevel1_Description	차세대 차세대 개선을 설계하십시오.
Research/DLC_4/TechMachineLevel1_Name	업그레이드 : 기술 지원
Research/DLC_4/TechMachineLevel2_CompleteMessage	우리의 최신 업그레이드는 가장 멋진 패키지로 제공됩니다. 잘하셨습니다.\n\n이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/DLC_4/TechMachineLevel2_Description	Next-Generator의 다음 에디션을 최종 에디션으로 만드십시오.
Research/DLC_4/TechMachineLevel2_Name	고급 업그레이드 : 기술 지원
Research/DLC_4/TechRoom_CompleteMessage	우리는 해냈습니다! Glitchy Patch에 대한 우리의 치료는 매끄러운 단색 디자인으로 환자를 유혹합니다.
Research/DLC_4/TechRoom_Description	Glitchy Patch로 기술에 열중 한 환자를 치료하는 방법을 조사하십시오. 
Research/DLC_4/TechRoom_Name	기술 지원
Research/DNAMachineLevel1_CompleteMessage	성공! 우리는 DNA 연구소를위한 더 효과적인 장비를 개발했습니다.\n\n당신은 이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/DNAMachineLevel1_Description	우리는 돌아가서 우리가 처음으로 잘라낸 모서리의 일부를 취할 수 있다고 생각합니다.
Research/DNAMachineLevel1_Name	업그레이드 : DNA 연구소
Research/DNAMachineLevel2_CompleteMessage	나쁜 소식 : 우리의 새 장비는 원래 장비를 쓰레기처럼 보이게합니다. 좋은 소식 : 이제 새 장비가 생겼습니다. 내가 그 일을 주도 했어야 했겠죠?\n\n당신은 이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/DNAMachineLevel2_Description	보다 상세한 분석과 정밀한 조작이 가능한 장비를 개발합니다.
Research/DNAMachineLevel2_Name	고급 업그레이드 : DNA 연구소
Research/DNARoom_CompleteMessage	우리는 DNA 장비를 발명했습니다! 유전 질환이있는 환자를 치료하고 진단하는 데 사용합니다.
Research/DNARoom_Description	사람의 DNA를 분석하고 조작하는 장비를 설계합니다.
Research/DNARoom_Name	DNA 연구소
Research/DrugDispenserMachineLevel1_CompleteMessage	우리는 더 복잡하고 일반적으로 더 강한 의약품을 만드는 장비를 개발했습니다. 우리는 몇 가지를 시도해 보았지만 훌륭합니다.\n\n기계공학 자격을 갖춘 관리인이 이제 각 컴퓨터에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/DrugDispenserMachineLevel1_Description	우리는 더 멋진 약물 칵테일을 제공할 수 있는 장비를 설계하는 것이 가능하다고 믿습니다.
Research/DrugDispenserMachineLevel1_Name	업그레이드 : 약국
Research/DrugDispenserMachineLevel2_CompleteMessaage	우리는 해냈습니다! 우리의 최신 약물 디스펜서 모델은 우리가 얻을 수 있는 것처럼 마법에 가깝습니다. Shazam.\n\n기계공학 자격을 갖춘 관리인이 이제 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/DrugDispenserMachineLevel2_Description	제약 연금술의 완전히 새로운 길을 우리에게 제공할 구성 요소를 연구하십시오.
Research/DrugDispenserMachineLevel2_Name	고급 업그레이드 : 약국
Research/ElectricShockRoom_CompleteMessage	연구팀은 전기가 흐르는 환자를 치료하는 새로운 장비를 발명했습니다.
Research/ElectricShockRoom_Description	모든 사람에게 계속 정전기 충격을 주는 성가신 사람들의 전기를 차단하는 장비를 설계하십시오.
Research/ElectricShockRoom_Name	충격 클리닉
Research/ElectroShockMachineLevel1_CompleteMessage	진행! 전도도가 향상되면 전기 충격 치료에서 더 나은 결과를 얻을 수 있습니다.\n\n이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/ElectroShockMachineLevel1_Description	Electroshock 치료를 향상시키기 위해 조정할 수 있습니다.
