Fonts & Materials/ARIAL SDF	
"It's important to keep your staff and patients happy, to ensure the hospital runs smoothly.\\n\\nPatients will get bored, thirsty and hungry over time. Make sure they have access to entertainment, food, drinks, and a comfy seat, when they're between appointments. If they become unhappy, they will leave to go to another hospital."	
Keeping People Happy	
"Click on <style=""AdvisorHighlight"">Hire</style>, then <style=""AdvisorHighlight"">Doctors</style>, then select someone to hire. Place them in the GP's Office."	
Excellent. Now we'll need a Doctor to run the GP's Office.\\n\\nHire one now...	
Doctor Whom	
Continue to expand your hospital and cure patients to acquire your first gold-star rating...	
Hospital Challenge	
"Increase <style=""AdvisorHighlight"">Hospital Level</style> by expanding the hospital with more rooms and staff."	
"As you expand the hospital with more rooms and staff, the Hospital Level increases. A larger hospital attracts more patients.\\n\\nAs the hospital gets busier, queues may start to get long. We may need to build more GP's Offices and other rooms, and hire more staff, to deal with the extra patients.\\n\\nLook out for queue warnings above rooms. You can also hover over a room to highlight people queueing for that room."	
Hospital level	
"Good news, our hospital is now open for business! Patients are starting to arrive. After they register at Reception they'll be sent to the GP for diagnosis."	
Hospital Open	
"The Two Point Health Ministry is keen to recognise the achievements of every hospital in the county. If we can build a hospital that satisfies the needs of the local area, the hospital will be awarded an official Star rating.\n\nThis will be great for our organisation. Not only does each star come with associated rewards, but it will also allow us to establish new hospitals around the county.\n\nContinue to expand the hospital to acquire a 1 Star rating..."	
Hospital Star Rating	
"<style=""AdvisorHighlight"">Rotate Item:</style> Hold the Left Mouse Button and drag left/right. Or use the {[Menu/InputActions/RotateItemClockwise]} and {[Menu/InputActions/RotateItemAntiClockwise]} keys.\n<style=""AdvisorHighlight"">Place Item:</style> Click the Left Mouse Button.\n<style=""AdvisorHighlight"">Cancel Item:</style> Click the Right Mouse Button."	
"Rotate an Item: When holding an item, click and hold the Left Mouse Button and then drag left/right to rotate it. You can also use the {[Menu/InputActions/RotateItemClockwise]} and {[Menu/InputActions/RotateItemAntiClockwise]} keys.\n\nPlace an Item: When holding an item, click the Left Mouse Button to place it.\n\nCancel an Item: When holding an item, click the Right Mouse Button to get rid of it. This will sell an owned item.\n\nPick Up an Item: Hover over an item, then click and hold the Left Mouse Button. Or click and drag to pick it up quickly.\n\nSell an Item: Pick up the item and click the Right Mouse Button. Or hover over the item and press the {[Menu/InputActions/DeleteItem]} key.\n\nFree Placement: Hold the {[Menu/InputActions/DisableSnap]} key to freely move and rotate the held item, without any grid-snapping or angle-snapping."	
Item Controls	
"If you want to pick up an item, hover over it, then click and hold the Left Mouse Button. Or click and drag to quickly pick it up."	
"<style=""AdvisorHighlight"">Toilets</style> now available!"	
"Janitors will empty bins and unblock toilets when required. This is much better than having to sweep up litter and, erm, other waste."	
"Drinks and snacks are great for keeping people happy, but they can lead to littering if there are no bins nearby. While we're at it, staff and patients will get pretty grumpy if they don't have access to any toilets. You might want to invest in some quality porcelain.\\n\\nJanitors will help maintain all of these: restocking vending machines, sweeping up litter, emptying bins, and unblocking toilets."	
Charlie Work	
"Now that we've got some expensive machinery, we should think about looking after it. Machines will deteriorate with use, and will need repairing from time to time. If a machine falls into disrepair it can be a fire hazard. Fires are generally considered, erm, bad for business.\\n\\nHire a Janitor to maintain machines. While you're at it, make sure we've got some Fire Extinguishers nearby. Better safe than sorry, right?"	
Janitors & Maintenance	
Janitors will be called to repair a machine when its maintenance level falls below 50%. You can also request that a Janitor repair it immediately through the item options.	
"By completing objectives and challenges, our organisation earns Kudosh. \\n\\n We can use this to gain access to new items. Take a look at the items list. Any item with a padlock can be unlocked using K. Best of all, we can then purchase that item in any of our hospitals.\\n\\n Use it wisely!"	
Kudosh	
"<style=""AdvisorHighlight"">De-lux Clinic</style> unlocked!\\nUse this to cure patients with Lightheadedness."	
"Well done, you've unlocked the De-lux Clinic. This includes some high tech machinery to deal with Lightheaded patients."	
De-lux Clinic Unlocked!	
NEWS FLASH: Terrifying new illness in town! Check your messages for details.	
There's a peculiar new illness in town... Lightheadedness! We're going to need some expensive new equipment to deal with this.\\n\\nContinue expanding the hospital to unlock the treatment room. We may also need another GP's Office and some more staff to keep on top of things.	
News Flash	
"<style=""AdvisorHighlight"">Moving the Camera:</style> Try looking around the building. Hold the Right Mouse Button and drag on the ground, or move the cursor to the edges of the screen, or use the {[Menu/InputActions/CameraPanUp]}, {[Menu/InputActions/CameraPanLeft]}, {[Menu/InputActions/CameraPanDown]} and {[Menu/InputActions/CameraPanRight]} keys."	
"First things first, you'll probably want to have a look around.\n\nTo move around the hospital:\n- Hold the Right Mouse Button and drag\n- Move the cursor to the edges of the screen\n- Use the {[Menu/InputActions/CameraPanUp]}, {[Menu/InputActions/CameraPanLeft]}, {[Menu/InputActions/CameraPanDown]} and {[Menu/InputActions/CameraPanRight]} keys\n\nYou can also zoom with the Mouse Wheel, and rotate and pitch with the Middle Mouse Button."	
Looking around the Hospital	
"If you want to return to the map to go to another hospital, just click on the <style=""AdvisorHighlight"">Map Button</style> in the bottom left corner of the screen."	
"You've unlocked the <style=""AdvisorHighlight"">Pharmacy</style>! Build a <style=""AdvisorHighlight"">Pharmacy</style>, and hire a <style=""AdvisorHighlight"">Nurse</style>."	
We've diagnosed our first patient. The GP has sent you a message - have a look at the message list in the bottom-right.\\n\\nLooks like we'll need to build a Pharmacy to treat the patient.	
Messages	
NEWS FLASH: Injured patients incoming! Check your messages for details.	
The people of Two Point County have recently become obsessed with cheese-rolling. We're likely to see patients with Portishead coming in soon. We'll need to unlock a new treatment room.	
News Flash	
Your main objectives will always appear in the top-right of the screen. Hover over them for more details.	
"Build a <style=""AdvisorHighlight"">Pharmacy</style>, and hire a <style=""AdvisorHighlight"">Nurse</style>."	
"Click on the <style=""AdvisorHighlight"">Items</style> button and select <style=""AdvisorHighlight"">Reception</style>."	
"<style=""AdvisorHighlight"">Place Item:</style> Click the Left Mouse Button.\\n<style=""AdvisorHighlight"">Rotate Item:</style> Hold the Left Mouse Button and drag left/right.\\n<style=""AdvisorHighlight"">Cancel Item:</style> Click the Right Mouse Button."	
The first thing the hospital will need is a Reception. Patients will head here when they arrive at the hospital.\\n\\nLet's build a Reception Desk near the entrance...	
Reception	
"Click on <style=""AdvisorHighlight"">Hire</style>, then <style=""AdvisorHighlight"">Assistants</style>. Select a job applicant, then click on the <style=""AdvisorHighlight"">Hire</style> button. Drop them near Reception by left-clicking."	
Great. We'll need an Assistant to run Reception.\\n\\nLet's hire one now...\\n\\nClick the Hire button and select Assistants to view job applicants.	
Receptionist	
"Hospital Reputation increases with each patient successfully cured, but decreases when a treatment fails, especially if a patient dies. A higher reputation attracts more patients and better staff for hire."	
Hospital Reputation	
"By completing objectives and challenges, our organisation earns <style=""AdvisorHighlight"">Kudosh</style>. You can use this to unlock items to use in any of our hospitals. Check the items list to see what we can afford."	
"By increasing the hospital's Star rating, our organisation has earned a heap of <style=""AdvisorHighlight"">Kudosh</style>. Use this to unlock new items for our hospitals."	
"<style=""AdvisorHighlight"">Staff Room</style> now available!"	
"Staff get tired as they work, and will eventually go on a break. A Staff Room will help them relax and return to work energised. Drinks and snacks help keep them happy too.\\n\\nIf you make a room larger, and fill it with interesting items, it will be considered more prestigious. People using a high prestige room will become happier. A nice Staff Room will also help staff regain energy faster."	
Staff Energy & Breaks	
"Whilst we're diagnosing our first patient, consider putting down some benches to keep people happy while they're waiting."	
"<style=""AdvisorHighlight"">Ward</style> unlocked! Wards can be used for diagnosis, but also to treat a range of illnesses."	
"Welcome to Two Point County!\n\nAre you ready to start building your first hospital, and curing some patients?"	
Two Point Hospital	
"<style=""AdvisorHighlight"">Zoom:</style> Mouse Wheel\\n<style=""AdvisorHighlight"">Rotate:</style> Middle Mouse Button drag left/right\\n<style=""AdvisorHighlight"">Pitch:</style> Middle Mouse Button drag up/down"	
"To zoom in and out, use the Mouse Wheel.\\n\\nTo rotate the view, hold the Middle Mouse Button and move the mouse left/right.\\n\\nTo pitch the view, hold the Middle Mouse Button and move the mouse up/down."	
Zooming & Rotating	
"Treat all manner of breaks and bruises in this sub-subalpine playground, the County's home for hiking, fishing and falling down."	
"Congratulations. Your hospital has been awarded a 1 Star rating by the Two Point Health Ministry.\n\nYou?셱e doing a smashing job of gluing back together all of those witless activity-bandits. I?셶e never seen the appeal of pursuits ?쁝l fresco?? myself. Land should be owned and profited from, not used as a venue for wanton perambulation.\n\nContinue with your osteological upkeep for more rewards, or go elsewhere and expand your organisation."	
"Congratulations. Your hospital has been awarded a 2 Star rating by the Two Point Health Ministry.\n\nYou continue to improve the health of our County?셲 more disreputable oxygen junkies. Oh, how they praise the curative powers of their beloved ?쐄resh??air. If you?셶e ever spoken to one of them, you?셱e sure to see that it has clearly damaged their brains, the sloppy, tree-loving buffoons. I digress.\n\nContinue with your osteological upkeep for more rewards, or go elsewhere and expand your organisation."	
Congratulations. Your hospital has been awarded a 3 Star rating by the Two Point Health Ministry.\n\nI take considerable vicarious pleasure in your victory over the allegedly ?쐅reat??outdoors.\n\nHospital administration - 1; Mother nature - 0.	
Tumble	
"Welcome to Tumble. This small town attracts tourists from across the county to climb Tumble Ridge and hike along the Tumble Downs. Lucky for us, this generates hundreds of fractured bones each year. Cha-ching!\n\nWe'll need to build a Fracture Ward to deal with these injuries. I recommend building a standard Ward and other essentials too. Make sure to keep everyone warm with some radiators.\n\nTumble has been known to experience seismic activity, so look out for earthquake warnings. We'll need Janitors ready to deal with any damage."	
Tumble Hospital	
Deal with a range of injuries in this town at the base of the mountain. Oh and try to stop people from freezing too.	
Underlook	
"Welcome to Underlook. This small town at the base of the mountain is home to the Underlook Ski Resort. It's a wonderful tourist attraction, and, lucky for us, generates hundreds of fractured bones each year. Cha-ching!\\n\\nTemperatures are extremely low here. You'll need to splash out on lots of radiators."	
Underlook Hospital	
"To start a research project, either click on the research pod, or drop a researcher into the room. In the research screen, you can select a project from the available projects list.\\n\\nOnce a project has been started, you'll need a Doctor with a Research Qualification to carry out the work. They will contribute research to the project over time, based on their research skill.\\n\\nResearch is shared across the whole organisation, as are the discoveries we make. You can start a project in one hospital and then continue work on it in another hospital."	
Research	
"Home to some of the brightest minds in Two Point County. It may be chilly, but it's also the perfect place for us to start developing some new technology: Mitton University Research & Teaching Hospital."	
"Well done, we've completed a research project! This discovery can be used across the whole organisation.\\n\\nWhen a project is completed, researchers will look for work elsewhere, unless we kick off another project. As we make new discoveries, and travel to new parts of the county, our boffins will propose new areas for research. Keep your eyes peeled for new projects!"	
Research Project Complete!	
"Congratulations. Your hospital has been awarded a 1 Star rating by the Two Point Health Ministry.\n\nIt bodes well that your organisation has begun to dabble in research. Our initial notes suggested, wrongly it seems, that you weren?셳 well suited to this particular task. Rest assured that whoever was responsible for such an off-the-mark-remark will be losing their job forthwith. Unless it was me, of course??perish the thought.\n\nContinue with your studies for more rewards, or go elsewhere and expand your organisation."	
"Congratulations. Your hospital has been awarded a 2 Star rating by the Two Point Health Ministry.\n\nI hear that your research and development has been taking further strides: bully for you.\n\nContinue with your studies for more rewards, or go elsewhere and expand your organisation."	
Congratulations. Your hospital has been awarded a 3 Star rating by the Two Point Health Ministry.\n\nYou have established a first-class research institute and a terrific boon to the university. I?셫 told that they?셱e very grateful and I?셝 imagine that I?셫 supposed to be too. Alas.	
Mitton University	
"Good news! Mitton University have awarded us <style=""AdvisorHighlight"">{[REWARDS]}</style> for the completion of some research."	
"Great news, the Two Point Health Ministry has granted us a research licence! This will allow any of our hospitals to research new machines, upgrades and more.\\n\\nTo kick off a research project we'll need a Research Room and a Doctor with a Research Qualification.\\n\\nDiagnosis and treatment of patients can also contribute to research progress. Harvesting ghosts can also be very... enlightening."	
Research Licence	
"Good news! Mitton University have awarded us <style=""AdvisorHighlight"">{[REWARDS]}</style> for the completion of some training."	
"The vice-chancellor of Mitton University has been impressed with our progress, and we've been invited to establish Mitton University Research & Teaching Hospital. This is a great opportunity for us, we can set up a research department and develop some new tech!\n\nWe'll only be able to recruit student doctors and nurses here, so we'll need to train them up. Mitton University will provide us with extra funds for each person we train, and each research project we complete.\n\nFirstly though, we'll need a research licence. The ministry will grant us one if we can demonstrate our technical prowess by establishing a hospital with some upgraded machinery."	
Mitton University	
"To start a marketing campaign, click on the Marketing Table, or drop an Assistant with a Marketing Qualification into the room.\\n\\nGeneral campaigns improve the hospital's overall reputation.\\n\\nRecruitment campaigns attract more job applicants of various types.\\n\\nIllness campaigns attract more patients exhibiting certain symptoms, and improve your reputation with specific illnesses. Note: Unlock more illness campaigns by discovering more illnesses in each area."	
Marketing	
A hospital in the wealthy town of Flemington.	
"Congratulations. Your hospital has been awarded a 1 Star rating by the Two Point Health Ministry.\n\nA fine town is deserving of a fine hospital, don?셳 you think? Of course you do: that?셲 precisely what you?셶e begun developing. Top drawer. Your efforts in the world of marketing have not gone unnoticed. May your corporate siren-song bring forth a bounty of cash-rich sickos.\n\nIf you grow tired of making us money, I suggest that you venture Eastward into the County?셲 most toilet-y region."	
"Congratulations. Your hospital has been awarded a 2 Star rating by the Two Point Health Ministry.\n\nThe Foxbridge homestead resides in the greater-Flemington area, as do much of the Foxbridge clan. It has been a delight to hear so many positive things about your establishment from them all. There?셲 nothing like news straight from the horse?셲 mouth, or the mouth of horse owners - rather!\n\nContinue building the hospital that Flemington deserves for more rewards, or go elsewhere and expand your organisation."	
"Congratulations. Your hospital has been awarded a 3 Star rating by the Two Point Health Ministry.\n\nFlemingtonians are a sophisticated breed, so it reflects well on you and your organisation that your hospital lives up to their lofty standards and fits into our most noble of towns. I hope you?셱e able to spread civility as well as you?셱e able to stop the spreading of germs."	
"Great news, the Two Point Health Ministry has granted us a marketing licence! This will allow us to run marketing campaigns to improve our reputation, and attract more patients and staff to the hospital.\\n\\nBuild a Marketing Room and hire (or train) an Assistant with a Marketing Qualification to run the campaigns."	
Marketing Licence	
Flemington	
"Welcome to Flemington, a wealthy town where the people have more money than sense. I think we could make a killing here (pardon the expression) if we can get ourselves a marketing licence.\\n\\nWe can use marketing campaigns to improve our reputation, attract more patients and recruit better staff.\\n\\nI suggest we focus our research, and marketing, on an illness that has been plaguing the area for a while: Animal Magnetism."	
Flemington Hospital	
"Welcome to Flemington, a wealthy town where the people have more money than sense. I think we could make a killing here (if you'll pardon the expression) if we use one of our new departments: Marketing.\\n\\nWe can use marketing campaigns to improve our reputation, attract more patients and recruit better staff. We'll need to build a Marketing Room and hire an Assistant with a Marketing Qualification to work there.\\n\\nI suggest we focus our research and marketing on an illness that has been plaguing the area for a while: Animal Magnetism."	
Flemington	
An abandoned hospital near the power plant.	
"Congratulations. Your hospital has been awarded a 1 Star rating by the Two Point Health Ministry.\n\nIn truth, we feared that nothing could survive in the grounds that you currently occupy, so to hear that you?셱e not just alive, but managing to treat people is, certainly, gravy on the proverbial goose.\n\nContinue to play with fire for more rewards, or flee that unstable place and expand your organisation."	
"Congratulations. Your hospital has been awarded a 2 Star rating by the Two Point Health Ministry.\n\nAs I hear word of your Franken-hospital expanding, I ask that you do try to keep it under control. In addition, you may want to periodically check the firmness of the ground, as there have been, shall we say, resistance based issues in the past??Fare thee well.\n\nContinue to play with fire for more rewards, or flee that unstable place and expand your organisation."	
"Congratulations. Your hospital has been awarded a 3 Star rating by the Two Point Health Ministry.\n\nYou have pacified a total monstrosity, taming its unbridled power and channelling it to serve your purpose??so, splendid job with that. I should add that you are much better tenants than those ghastly Blungle people."	
Melt Downs	
"The Melt Downs Power Plant seems to be experiencing some 'technical difficulties'. Bungle Technologies, owners of the power plant, have put out a press release saying everything is fine, no need to panic. The very same day they also evacuated this nearby hospital. Apparently an experiment in their research department went awry. Mayor Windsock has asked if we could take over. We found some intriguing research papers scattered around, maybe we should continue their work?\\n\\nLooks like the place needs a bit of a tidy up first. Also, rumour has it there are some very strange patients showing up in the local area. Erm, good luck!"	
Melt Downs Hospital	
Assist the Two Point Health Service with a public hospital.	
"I?셫 required to inform you that the Two Point Health Ministry has awarded your hospital a 1 Star rating.\n\nWe have launched an investigation into how this was possible, but do keep up the good, albeit suspicious, work.\n\nQuit whilst you?셱e ahead and move on to the County?셲 tropical South, or stay there, of all places, if you really are, indeed, that stupid."	
"I?셫 required to inform you that the Two Point Health Ministry has awarded your hospital a 2 Star rating.\n\nSurely you?셶e proven yourself in the sector and should take your talents onto a new, and more deserving, challenge."	
3 Star status.\n\nFelicitations. \n\nGo do something else.	
Duckworth-upon-Bilge	
"Health Minister Tarquin Foxbridge has requested our assistance. The county's public health system, the TPHS, is struggling to cope. Duckworth Hospital, one of the few remaining public hospitals, has lost its administrator. Lord Foxbridge has proposed that we help run this public hospital. Could be good for us. Nudge nudge, wink wink.\\n\\nIf we can meet the Ministry?셲 targets we'll receive some of the County?셲 healthcare budget, but we won't receive income for any diagnosis, treatment or retail. This could be interesting..."	
Duckworth-upon-Bilge	
A teaching hospital focused on surgery.	
"Congratulations. The Two Point Health Ministry has awarded your hospital a 1 Star rating. \n\nAh Smogley. I always forget about dear old Smogley. I do not thank you for reminding me of its existence. My compliments on the development of your surgical practices, although it is rather base as far as practices go. If you?셱e going to insist on rummaging around inside of people do remember to wash your hands. \n\nContinue tinkering with innards for more rewards, or go elsewhere and expand your organisation."	
"Congratulations. Your hospital has been awarded a 2 Star rating by the Two Point Health Ministry.\n\nThe development of your hospital continues to be the most significant thing to happen to Smogley since that cloud momentarily parted and its people were first introduced to the sun. I?셝 imagine they?셱e planning a primitive statue, made of mud and twigs, in your likeness.\n\nContinue tinkering with innards for more rewards, or go elsewhere and expand your organisation."	
"Congratulations. Your hospital has been awarded a 3 Star rating by the Two Point Health Ministry.\n\nSmogley, as we know, is a dire place, in dire need of a feature to alert the cartographers to its existence. Your excellent hospital may well be that feature. People would come from miles around to see it, if anyone could see through that opaque guff Smogley has in place of air."	
Smogley	
"Welcome to Smogley. Based just outside the city, the mayor is keen to help develop this area. Currently this means it receives a generous supply of two things: pollution, and patients requiring surgery.\\n\\nI'd recommend building up a teaching hospital and training some surgeons. Surgery requires a qualified doctor, and a nurse, but it brings in the big bucks so it's worth it."	
Smogley Hospital	
"The Sweaty Palms resort is a delightful holiday destination, if you don't mind the frequent earthquakes and other natural disasters."	
"Congratulations. Your hospital has been awarded a 1 Star rating by the Two Point Health Ministry.\n\nI remember being forced to visit the beaches of Sweaty Palms as a child. There was something about that incessant sun and the threat of molten lava that played on my nerves. I?셫 pleased to see that you seem to be faring much better, with the heat and the threat of natural disasters, than the young Foxbridge.\n\nContinue to perspire for more rewards, or go elsewhere and expand your organisation."	
"Congratulations. Your hospital has been awarded a 2 Star rating by the Two Point Health Ministry.\n\nIt is clear that the allure of the so-called ?쁞each life??has been outmatched by your devotion to your post. I applaud this rousing display of priorities.\n\nContinue to perspire for more rewards, or go elsewhere and expand your organisation."	
Congratulations. Your hospital has been awarded a 3 Star rating by the Two Point Health Ministry.\n\nIt is positively heart-warming to learn that the environment is no match for ruthless administration. I?셫 sure that you are swiftly becoming the hero of bureaucrats everywhere.	
Sweaty Palms	
"Welcome to Sweaty Palms Resort, a beautiful holiday destination. Sadly, it's also plagued by earthquakes, volcanic activity, and other natural disasters. Also some unnatural disasters, thanks to The Orb Foundation if the conspiracy theorists are to be believed.\\n\\nI recommend hiring a few Janitors to keep machines repaired and clear up any debris. Explosions can be a bit upsetting, in my experience. Oh and some air-conditioning would be nice, it's boiling around here."	
Sweaty Palms Hospital	
This town is riddled with contagious diseases. But otherwise lovely.	
"Congratulations. The Two Point Health Ministry has awarded your hospital a 1 Star rating.\n\nYes, germs may be rather small, but it is no small feat to contain a peril so multitudinous, and we know of nowhere that contains them in such an abundance than Blighton. This is an important battle won in the fight against very tiny things.\n\nContinue the fight, or venture into the city at the heart of the County. The metropolis beckons, are you prepared to answer its call? You know, I think I might be somewhat invested: how very disturbing."	
"Congratulations. Your hospital has been awarded a 2 Star rating by the Two Point Health Ministry.\n\nIt has been a refreshing change to receive reports from Blighton that we don?셳 have to destroy for legal reasons, I thank you for that.\n\nContinue your fight against the microscopic for more rewards, or go elsewhere and expand your organisation."	
"Congratulations. Your hospital has been awarded a 3 Star rating by the Two Point Health Ministry.\n\nIt?셲 remarkable, and we?셱e still cross-checking, but some of our data suggests that your hospital may have actually made Blighton a nice place. This is tremendous, if not unsettling, news."	
Blighton	
"Welcome to Blighton. It's hot, it's sticky, and it's plagued by all sorts of contagious diseases.\\n\\nKeep an eye on hygiene levels, and vaccines at the ready!"	
Blighton Hospital	
Tourists like to bring all manner of peculiar illnesses to this wonderful sunny town.	
"Congratulations. Your hospital has been awarded a 1 Star rating by the Two Point Health Ministry.\n\nTourism is, undoubtedly, a disease of sorts, but it?셲 also vital for the livelihood of the County. For tourism to thrive, the tourists themselves must survive. Now that this is happening, they can return home to tell their friends??and their friends??money.\n\nContinue working in hospitality for more rewards, or go elsewhere and expand your organisation."	
"Congratulations. Your hospital has been awarded a 2 Star rating by the Two Point Health Ministry.\n\nYou continue to successfully monitor the portal through which most illnesses enter the county. The people they reside within are people of leisure and do like a spectacle, so remember to put on a show.\n\nContinue working in hospitality for more rewards, or go elsewhere and expand your organisation.\n"	
"Congratulations. Your hospital has been awarded a 3 Star rating by the Two Point Health Ministry.\n\nNever has our County?셲 premier tourist destination been so fittingly medically supported, our visitors are, by and large, healthy, happy and spending lots of money. Your hospital has even become quite the hotspot, itself. Bravo."	
Grockle Bay	
Welcome to Grockle Bay. It's a tourist hotspot. Prepare to be inundated with germ-ridden holiday makers who can't cope with the heat in the south.\\n\\nI recommend investing in some air-conditioning at the earliest opportunity.	
Grockle Bay Hospital	
Take over this failing inner city hospital and turn it around.	
"Congratulations. Your hospital has been awarded a 1 Star rating by the Two Point Health Ministry.\n\nLong has the debt of this hospital been weighing on my mind. I?셫 sorry to say that at one point it almost affected my rest. I came very close to shutting it down, but now that you?셶e steadied the ship I don?셳 have to do all that paperwork. Here?셲 to you, maestro.\n\nContinue this restoration project for more rewards, or leave that ragtag neighbourhood and expand your organisation."	
"Congratulations. Your hospital has been awarded a 2 Star rating by the Two Point Health Ministry.\n\nPreviously, when asked about the state of the Rotting Hill hospital by my superiors, I would save their worries, and my job, and say that everything was going swimmingly. You have done us all a great favour by allowing me to speak to them with newfound and unprecedented veracity.\n\nContinue this restoration project for more rewards, or leave that ragtag neighbourhood and expand your organisation."	
"Congratulations. Your hospital has been awarded a 3 Star rating by the Two Point Health Ministry.\n\nWho would have thought, when you took over this hospital, that we were in store for such archetypal rags-to-riches tale. Now that I?셶e put it in those terms, I find it quite sickening."	
Rotting Hill	
"Rotting Hill Hospital has been on its last legs for a while, thanks in part to the ruthless business practices of Jumbo Healthcare. It's out of cash, reputation is poor, and it smells faintly of cabbage. Mayor Windsock and the Health Ministry have made the tough decision to transfer ownership from the Two Point Health Service over to our organisation.\\n\\nWe'll need a loan if we want to turn this place around!"	
Rotting Hill Hospital	
Build a hospital in the busiest part of the city centre. Prepare for an onslaught. Good luck!	
"Congratulations. Your hospital has been awarded a 1 Star rating by the Two Point Health Ministry.\n\nYour organisation has become the gold standard for healthcare in Two Point County. You?셶e risen above all competition, leaving their long-held hopes and dreams lying, soiled, in a shabby tatters, on the ground. A soothing thought, is it not?\n\nContinue aiding the County?셲 most hectic area to cement your legacy."	
"Congratulations. Your hospital has been awarded a 2 Star rating by the Two Point Health Ministry.\n\nI?셫 sure we?셱e in agreeance that my sterling leadership is to thank for you overcoming some of your more questionable qualities. But where exactly is my acclaim, my long-overdue notoriety, my fancy letter?\nI implore you to reflect on this injustice in place of any pencilled-in jubilatory shenanigans.\n\nContinue aiding the County?셲 most hectic area to cement your legacy."	
"Congratulations. Your hospital has been awarded a 3 Star rating by the Two Point Health Ministry.\n\nThe news media have begun to deliberate concernedly about ?쐎verpopulation?? surely there is no greater compliment to a hospital administrator.\n\nYour name shall reverberate through the halls of the Ministry for generations, interrupting our all-too-brief silences and reminding us of the County?셲 true potential. Maybe at some point I?셪l commit it to memory??"	
Croquembouche	
"Welcome to the heart of the city. This is it, our toughest challenge yet. Thousands of people flood through Croquembouche every day. At least half of them are sick, in my opinion. The tower of Jumbo Mega Corporation looms in the distance. Jumbo Healthcare have dominated for too long. If we can build a successful hospital here, we will cement our position as one of the top organisations in the county."	
Croquembouche Hospital	
Build a high tech hospital to help cure the many illnesses plaguing the city.	
"Congratulations. Your hospital has been awarded a 1 Star rating by the Two Point Health Ministry.\n\nI may not understand all of your newfangled gadgetry, but I am pleased to hear that you?셱e putting it to good use.\n\nContinue modernising the County for more rewards, or go elsewhere and expand your organisation."	
"Congratulations. Your hospital has been awarded a 2 Star rating by the Two Point Health Ministry.\n\nAlthough I?셫 delighted to hear that you?셱e propelling our County?셲 healthcare into the future, as it were, I ask that you do be wary of your mechanical associates, lest we unwittingly bring about the end of times. Anyway, smashing job.\n\nContinue modernising the County for more rewards, or go elsewhere and expand your organisation."	
"Congratulations. Your hospital has been awarded a 3 Star rating by the Two Point Health Ministry.\n\nI?셫 told that the future depends upon increased automation, and, whilst I might contend the point behind closed doors, I?셫 well aware that it?셲 in my best political interest to support this ill-conceived cause publically. I refuse to seem out of touch, you see, besides??no one likes a moth in the marmalade."	
Pelican Wharf	
"Welcome to Pelican Wharf. This high-tech hub is bustling with activity, and plagued by some tricky ailments. It's a great place to set up a new hospital, but we'll need some powerful machinery if we want to flourish here.\\n\\nI recommend focusing on research, and upgrading our machines as much as possible."	
Pelican Wharf Hospital	
"I would like to invite you to use R.E.M.I. X, or Rendered Environments of Medical Intrigue... X, a software that simulates hospital management (if you can imagine such a thing). It'll be used to train the County's administrators of the future in a safe setting where people aren't actually dying, but it's not ready just yet. The software needs to analyse existing hospitals to model its hypothetical healthcare scenarios. Those scenarios will need testing, too, preferably by someone who knows what they're doing.\n\nIf it wasn't clear, please test out the software. That'd be swell... Thanks!"	
Level Complete	
Rank	
"Sophie Nova\nCEO, Bungle Technologies"	
Boot up R.E.M.I. X and cure hordes of patients in an artificial Hogsport.	
Unlock plots by completing challenges. 	
"The plots on this level are locked behind challenges.\nComplete the challenges to unlock the plots and earn a Star.\n\nWhat's that? Alright, well if it sounds so simple, hurry up and do it then. Blimey."	
Free The Plots	
Profit from career development (not yours).	
"R.E.M.I. X has generated a new <style=""AdvisorHighlight"">Side Quest</style>."	
Challenge Approaching	
"You failed to complete a Side Quest. <style=""AdvisorHighlight"">{[REWARDS]}</style>"	
"You've completed a Side Quest. Congratulations.\n<style=""AdvisorHighlight"">{[REWARDS]}</style>"	
R.E.M.I. X has generated a new Side Quest.	
Side Quest	
"Oh no, you've been penalised for failing to complete a Side Quest."	
Well done! You've earned an award by successfully completing a Side Quest.	
Side Quest: Results 	
"Training Bonus!\n<style=""AdvisorHighlight"">{[REWARDS]}</style>."	
"In this scenario, R.E.M.I. X has brutally diminished all of your usual forms of income, including diagnosis and treatment.\n\nBut don't worry - I can tell that you were worried, isn't that weird? - because you'll receive ample monetary rewards for completing challenges, or ""Side Quests"", related to staff development, as well as for training your staff."	
Not-tering	
"On this ""level"" you'll be treating patients one wave at a time in a digital recreation of Hogsport. In R.E.M.I. X you'll complete goals to receive stars. These stars don't reflect anything tangible - no standardised rating by a recognised board like the Two Point Health Ministry - they're just symbolic of progress and an understood practice in video games. And let's face it, now that you've heard about them, you want one, don't you?\n\nSome might argue that it's in bad taste to design a game-like software about running hospitals, but... yeah. Take it up with the people at Bungle."	
R.E.M.I. X	
Build up towering defences and prepare for a horde of the broken and bruised.	
"Can you imagine preparing a hospital, full of untrained staff, for one huge wave of patients? Well you don't have to imagine it, because it's happening right now!\n\nR.E.M.I. X is giving you some time to prepare before they arrive, and will cover almost all of your running costs, so train your staff, build facilities and remember what they say about fractured bones??nIf it ain't not broken, don't not fix it??"	
Brace Yourself??Before Bracing Others	
Use book-learning to open up the entire hospital campus.	
